timestamp,corriente
2025-10-08 00:00:00,0.97
2025-10-08 00:05:00,0.98
2025-10-08 00:10:00,1.31
2025-10-08 00:15:00,1.06
2025-10-08 00:20:00,1.03
2025-10-08 00:25:00,1.1
2025-10-08 00:30:00,0.72
2025-10-08 00:35:00,1.06
2025-10-08 00:40:00,1.02
2025-10-08 00:45:00,1.0
2025-10-08 00:50:00,1.28
2025-10-08 00:55:00,1.07
2025-10-08 01:00:00,1.48
2025-10-08 01:05:00,0.93
2025-10-08 01:10:00,1.45
2025-10-08 01:15:00,1.43
2025-10-08 01:20:00,1.3
2025-10-08 01:25:00,1.75
2025-10-08 01:30:00,1.14
2025-10-08 01:35:00,1.33
2025-10-08 01:40:00,0.83
2025-10-08 01:45:00,1.46
2025-10-08 01:50:00,1.24
2025-10-08 01:55:00,1.82
2025-10-08 02:00:00,1.56
2025-10-08 02:05:00,1.36
2025-10-08 02:10:00,1.86
2025-10-08 02:15:00,1.1
2025-10-08 02:20:00,1.73
2025-10-08 02:25:00,1.87
2025-10-08 02:30:00,2.1
2025-10-08 02:35:00,1.72
2025-10-08 02:40:00,2.17
2025-10-08 02:45:00,1.97
2025-10-08 02:50:00,2.22
2025-10-08 02:55:00,2.03
2025-10-08 03:00:00,2.68
2025-10-08 03:05:00,2.19
2025-10-08 03:10:00,2.37
2025-10-08 03:15:00,2.45
2025-10-08 03:20:00,2.52
2025-10-08 03:25:00,2.65
2025-10-08 03:30:00,2.7
2025-10-08 03:35:00,2.91
2025-10-08 03:40:00,2.89
2025-10-08 03:45:00,2.78
2025-10-08 03:50:00,2.95
2025-10-08 03:55:00,2.9
2025-10-08 04:00:00,2.9
2025-10-08 04:05:00,3.03
2025-10-08 04:10:00,2.92
2025-10-08 04:15:00,3.12
2025-10-08 04:20:00,3.52
2025-10-08 04:25:00,3.52
2025-10-08 04:30:00,3.61
2025-10-08 04:35:00,3.64
2025-10-08 04:40:00,3.99
2025-10-08 04:45:00,3.83
2025-10-08 04:50:00,3.61
2025-10-08 04:55:00,3.58
2025-10-08 05:00:00,3.95
2025-10-08 05:05:00,3.85
2025-10-08 05:10:00,4.06
2025-10-08 05:15:00,4.34
2025-10-08 05:20:00,4.13
2025-10-08 05:25:00,4.95
2025-10-08 05:30:00,4.58
2025-10-08 05:35:00,4.43
2025-10-08 05:40:00,4.57
2025-10-08 05:45:00,5.15
2025-10-08 05:50:00,5.03
2025-10-08 05:55:00,4.83
2025-10-08 06:00:00,4.85
2025-10-08 06:05:00,5.17
2025-10-08 06:10:00,4.83
2025-10-08 06:15:00,5.21
2025-10-08 06:20:00,5.44
2025-10-08 06:25:00,5.65
2025-10-08 06:30:00,5.56
2025-10-08 06:35:00,5.95
2025-10-08 06:40:00,5.58
2025-10-08 06:45:00,5.57
2025-10-08 06:50:00,6.06
2025-10-08 06:55:00,5.73
2025-10-08 07:00:00,5.98
2025-10-08 07:05:00,6.29
2025-10-08 07:10:00,6.17
2025-10-08 07:15:00,6.56
2025-10-08 07:20:00,6.33
2025-10-08 07:25:00,6.61
2025-10-08 07:30:00,6.7
2025-10-08 07:35:00,6.57
2025-10-08 07:40:00,6.51
2025-10-08 07:45:00,6.43
2025-10-08 07:50:00,6.39
2025-10-08 07:55:00,7.49
2025-10-08 08:00:00,6.98
2025-10-08 08:05:00,6.92
2025-10-08 08:10:00,7.13
2025-10-08 08:15:00,7.34
2025-10-08 08:20:00,6.97
2025-10-08 08:25:00,7.68
2025-10-08 08:30:00,7.64
2025-10-08 08:35:00,7.77
2025-10-08 08:40:00,7.65
2025-10-08 08:45:00,7.56
2025-10-08 08:50:00,7.63
2025-10-08 08:55:00,7.67
2025-10-08 09:00:00,7.82
2025-10-08 09:05:00,7.97
2025-10-08 09:10:00,7.76
2025-10-08 09:15:00,7.99
2025-10-08 09:20:00,7.83
2025-10-08 09:25:00,8.49
2025-10-08 09:30:00,8.29
2025-10-08 09:35:00,8.46
2025-10-08 09:40:00,8.05
2025-10-08 09:45:00,8.45
2025-10-08 09:50:00,8.2
2025-10-08 09:55:00,8.16
2025-10-08 10:00:00,8.54
2025-10-08 10:05:00,8.21
2025-10-08 10:10:00,8.86
2025-10-08 10:15:00,8.66
2025-10-08 10:20:00,8.93
2025-10-08 10:25:00,8.56
2025-10-08 10:30:00,8.06
2025-10-08 10:35:00,8.82
2025-10-08 10:40:00,8.64
2025-10-08 10:45:00,9.15
2025-10-08 10:50:00,9.13
2025-10-08 10:55:00,9.09
2025-10-08 11:00:00,8.69
2025-10-08 11:05:00,8.91
2025-10-08 11:10:00,9.26
2025-10-08 11:15:00,8.95
2025-10-08 11:20:00,8.68
2025-10-08 11:25:00,9.22
2025-10-08 11:30:00,8.9
2025-10-08 11:35:00,9.03
2025-10-08 11:40:00,9.08
2025-10-08 11:45:00,9.49
2025-10-08 11:50:00,9.27
2025-10-08 11:55:00,8.98
2025-10-08 12:00:00,8.96
2025-10-08 12:05:00,8.88
2025-10-08 12:10:00,8.94
2025-10-08 12:15:00,9.08
2025-10-08 12:20:00,8.72
2025-10-08 12:25:00,8.76
2025-10-08 12:30:00,9.2
2025-10-08 12:35:00,9.07
2025-10-08 12:40:00,9.5
2025-10-08 12:45:00,8.74
2025-10-08 12:50:00,9.1
2025-10-08 12:55:00,8.73
2025-10-08 13:00:00,8.85
2025-10-08 13:05:00,9.13
2025-10-08 13:10:00,8.95
2025-10-08 13:15:00,8.77
2025-10-08 13:20:00,8.91
2025-10-08 13:25:00,8.7
2025-10-08 13:30:00,8.65
2025-10-08 13:35:00,8.75
2025-10-08 13:40:00,8.26
2025-10-08 13:45:00,8.71
2025-10-08 13:50:00,8.5
2025-10-08 13:55:00,8.85
2025-10-08 14:00:00,8.57
2025-10-08 14:05:00,8.22
2025-10-08 14:10:00,8.24
2025-10-08 14:15:00,8.51
2025-10-08 14:20:00,8.32
2025-10-08 14:25:00,8.26
2025-10-08 14:30:00,8.26
2025-10-08 14:35:00,7.92
2025-10-08 14:40:00,8.21
2025-10-08 14:45:00,8.04
2025-10-08 14:50:00,7.5
2025-10-08 14:55:00,7.98
2025-10-08 15:00:00,7.79
